date,period,industry,close,price_x,momentum_y,rs_z_120,rs_mom_20_z,rs_mom_60_z,rs_accel_5_20,rs_new_high_60,breadth_ma20,breadth_observed,breadth_delta_1d,breadth_delta_5d,relative_breadth,breadth_slope_5,breadth_slope_10,breadth_above_50,breadth_thrust,breadth_persistence,amount_share,amount_share_ma20,amount_confirm,amount_share_z_60,amount_mom_5,vol_20,vol_60,drawdown_60,downside_vol_60,correlation_to_benchmark,source,breadth_divergence_score,price_amount_confirm_score,trend_stability,confidence,quadrant,rs_rank_pct,score,score_breakdown,top_contributors,risk_notes,phase,phase_transition,change_reason
1999-12-30,weekly,农林牧渔,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.5,0.04349294269048109,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sw_index/breadth_ma20,0.0,0.0,0.0,0.6,领涨,50.0,44.5,"{'trend': 12.4, 'momentum': 9.9, 'breadth': 13.9, 'liquidity': 5.9, 'risk': 0.0, 'data_quality': 2.4, 'total': 44.5}","['breadth', 'trend', 'momentum']",[],观察,new,['阶段规则重新归类']
2000-01-07,weekly,农林牧渔,1106.19,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.5,0.037654593827719775,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sw_index/breadth_ma20,0.0,0.0,0.0,0.6,领涨,50.0,44.5,"{'trend': 12.4, 'momentum': 9.9, 'breadth': 13.9, 'liquidity': 5.9, 'risk': 0.0, 'data_quality': 2.4, 'total': 44.5}","['breadth', 'trend', 'momentum']",[],观察,unchanged,['阶段规则重新归类']
2000-01-14,weekly,农林牧渔,1062.16,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.5,0.0456555988616978,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sw_index/breadth_ma20,0.0,0.0,0.0,0.6,领涨,50.0,44.5,"{'trend': 12.4, 'momentum': 9.9, 'breadth': 13.9, 'liquidity': 5.9, 'risk': 0.0, 'data_quality': 2.4, 'total': 44.5}","['breadth', 'trend', 'momentum']",[],观察,unchanged,['阶段规则重新归类']
2000-01-21,weekly,农林牧渔,1148.63,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.5,0.03991504123255831,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sw_index/breadth_ma20,0.0,0.0,0.0,0.6,领涨,50.0,44.5,"{'trend': 12.4, 'momentum': 9.9, 'breadth': 13.9, 'liquidity': 5.9, 'risk': 0.0, 'data_quality': 2.4, 'total': 44.5}","['breadth', 'trend', 'momentum']",[],观察,unchanged,['阶段规则重新归类']
2000-01-28,weekly,农林牧渔,1216.79,1.1633742350216623,0.0,1.1633742350216623,0.0,0.0,0.0,True,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.03911730330107797,0.04116709598270699,False,-0.6936449706420132,0.0,0.0,0.0,0.0,0.01592131550637772,0.0,sw_index/breadth_ma20,0.0,-0.0,0.0,0.6,领涨,83.33333333333334,45.1,"{'trend': 17.8, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 5.1, 'risk': 0.0, 'data_quality': 2.4, 'total': 45.1}","['trend', 'momentum', 'breadth']",[],高位背离,upgrade,['阶段规则重新归类']
2000-02-18,weekly,农林牧渔,1413.28,1.8293918242273866,0.0,1.8293918242273866,0.0,0.0,0.0,True,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.032759055139242994,0.03976575584212966,False,-1.6945981031367399,-0.010733887551238094,0.06619661466668787,0.06619661466668787,0.0,0.014833809901450862,0.9261865132498716,sw_index/breadth_ma20,0.0,-0.0,0.0,0.6,领涨,91.66666666666666,41.2,"{'trend': 20.2, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 3.6, 'risk': -4.7, 'data_quality': 2.4, 'total': 41.2}","['trend', 'momentum', 'breadth']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
2000-02-25,weekly,农林牧渔,1425.97,1.7774777084130735,0.0,1.7774777084130735,0.0,0.0,0.0,True,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.029697279774346472,0.038327402118160624,False,-1.658815363897181,-0.007957314053373302,0.06506814847153564,0.06506814847153564,0.0,0.013928249651602494,0.9352262712004501,sw_index/breadth_ma20,0.0,-0.0,0.0,0.6,领涨,100.0,41.9,"{'trend': 20.6, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 3.7, 'risk': -4.6, 'data_quality': 2.4, 'total': 41.9}","['trend', 'momentum', 'breadth']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
2000-03-03,weekly,农林牧渔,1498.59,1.2890140000383283,0.0,1.2890140000383283,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.03394498077955214,0.03777959945083457,False,-0.7551723573301385,-0.011710618082145664,0.06038772443672669,0.06038772443672669,0.0,0.013163700429647453,0.9170448350439662,sw_index/breadth_ma20,0.0,-0.0,0.0,0.6,领涨,83.33333333333334,40.7,"{'trend': 18.1, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 4.7, 'risk': -4.3, 'data_quality': 2.4, 'total': 40.7}","['trend', 'momentum', 'breadth']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
2000-03-10,weekly,农林牧渔,1448.85,0.984206132614645,0.0,0.984206132614645,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.02803046708517961,0.03669636252131735,False,-1.5246458042337125,-0.011884574147378701,0.06454230112810758,0.06454230112810758,-0.03319119972774409,0.015253181199510893,0.9231113960162459,sw_index/breadth_ma20,0.0,-0.0,0.0,0.6,领涨,100.0,39.2,"{'trend': 18.5, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 3.8, 'risk': -5.2, 'data_quality': 2.4, 'total': 39.2}","['trend', 'momentum', 'breadth']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
2000-03-17,weekly,农林牧渔,1444.13,1.115196598330591,0.0,1.115196598330591,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.03391680913610458,0.03641840718279608,False,-0.4584795286132071,-0.005200494164973389,0.06306255894877792,0.06306255894877792,-0.03634082704408803,0.0145434866168757,0.9285737645696257,sw_index/breadth_ma20,0.0,-0.0,0.0,0.6,领涨,100.0,41.1,"{'trend': 18.8, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 5.2, 'risk': -5.1, 'data_quality': 2.4, 'total': 41.1}","['trend', 'momentum', 'breadth']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
2000-03-24,weekly,农林牧渔,1493.61,0.7844724691663083,0.0,0.7844724691663083,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.03783951532429992,0.036547598832023694,True,0.2475701006182492,0.005080460185056923,0.059891432511798876,0.059891432511798876,-0.0033231237363121613,0.014038868949938313,0.9170117408019112,sw_index/breadth_ma20,0.0,0.0,0.0,0.6,领涨,83.33333333333334,41.0,"{'trend': 16.8, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 6.4, 'risk': -4.3, 'data_quality': 2.4, 'total': 41.0}","['trend', 'momentum', 'breadth']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
2000-03-31,weekly,农林牧渔,1537.94,0.6293547616449752,0.0,0.6293547616449752,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0333173766046593,0.03627841364641,False,-0.5834136212611777,0.003620096830312825,0.057225542543740876,0.057225542543740876,0.0,0.013577054100708369,0.9128309161545959,sw_index/breadth_ma20,0.0,-0.0,0.0,0.6,领涨,83.33333333333334,39.8,"{'trend': 16.4, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 5.4, 'risk': -4.1, 'data_quality': 2.4, 'total': 39.8}","['trend', 'momentum', 'breadth']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
2000-04-07,weekly,农林牧渔,1569.14,0.7733391622220527,0.0,0.7733391622220527,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.041075335993001935,0.03664740767307091,True,0.8783822231169754,0.0071303552134497974,0.055100805750209834,0.055100805750209834,0.0,0.013153848814846165,0.913846591200873,sw_index/breadth_ma20,0.0,0.0,0.0,0.6,领涨,75.0,41.6,"{'trend': 16.2, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 7.2, 'risk': -3.9, 'data_quality': 2.4, 'total': 41.6}","['trend', 'momentum', 'breadth']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
2000-04-14,weekly,农林牧渔,1568.76,0.6649926579896219,0.0,0.6649926579896219,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.03204457154673356,0.036318633664046814,False,-0.8547816668726042,0.004014104461553952,0.05399804748289502,0.05399804748289502,-0.00024217087066802367,0.012757833248885296,0.914334035013243,sw_index/breadth_ma20,0.0,-0.0,0.0,0.6,领涨,83.33333333333334,39.8,"{'trend': 16.5, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 5.1, 'risk': -3.9, 'data_quality': 2.4, 'total': 39.8}","['trend', 'momentum', 'breadth']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
2000-04-21,weekly,农林牧渔,1574.37,0.7250818725142463,0.0,0.7250818725142463,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.03296411780949004,0.03609499927374303,False,-0.6386205482439752,-0.0009526913266145395,0.05272515066136169,0.05272515066136169,0.0,0.012400365901818668,0.9163163216384713,sw_index/breadth_ma20,0.0,-0.0,0.0,0.6,领涨,75.0,39.6,"{'trend': 16.0, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 5.2, 'risk': -3.8, 'data_quality': 2.4, 'total': 39.6}","['trend', 'momentum', 'breadth']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
2000-04-28,weekly,农林牧渔,1619.77,1.1812223573347551,0.0,1.1812223573347551,0.0,0.0,0.0,True,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.05130173903139166,0.03704542050859607,True,2.373335392246333,0.013462223707091742,0.050955293832957646,0.050955293832957646,0.0,0.012069892637535308,0.9121320367532105,sw_index/breadth_ma20,0.0,0.0,0.0,0.6,领涨,100.0,46.7,"{'trend': 19.0, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 9.2, 'risk': -3.6, 'data_quality': 2.4, 'total': 46.7}","['trend', 'momentum', 'breadth']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
2000-05-12,weekly,农林牧渔,1530.9,1.2748119872770505,0.0,1.2748119872770505,0.0,0.0,0.0,True,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.033085333697397516,0.03681247422558439,False,-0.6315534923127302,-0.00023204290726178134,0.05381291244124073,0.05381291244124073,-0.05486581428227455,0.01661299409267224,0.9265401420507535,sw_index/breadth_ma20,0.0,-0.0,0.0,0.6,领涨,91.66666666666666,41.2,"{'trend': 18.7, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 5.2, 'risk': -4.8, 'data_quality': 2.4, 'total': 41.2}","['trend', 'momentum', 'breadth']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
2000-05-19,weekly,农林牧渔,1556.01,0.8556412666607763,0.0,0.8556412666607763,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.03807393414679499,0.03688255533231831,True,0.20746533969007797,-0.0030014018462069456,0.052281839065591196,0.052281839065591196,-0.03936361335251304,0.016241659896971017,0.9173306848957864,sw_index/breadth_ma20,0.0,0.0,0.0,0.6,领涨,75.0,40.2,"{'trend': 16.4, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 6.1, 'risk': -4.4, 'data_quality': 2.4, 'total': 40.2}","['trend', 'momentum', 'breadth']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
2000-05-26,weekly,农林牧渔,1622.09,0.6094354436503282,0.0,0.6094354436503282,0.0,0.0,0.0,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0717585763574632,0.03871813538627331,True,3.4467734744485172,0.03971400481072964,0.05092209032503043,0.05092209032503043,0.0,0.015892239084537626,0.9138985226359965,sw_index/breadth_ma20,0.0,0.0,0.0,0.6,领涨,66.66666666666666,44.9,"{'trend': 15.2, 'momentum': 9.9, 'breadth': 9.9, 'liquidity': 11.2, 'risk': -3.6, 'data_quality': 2.4, 'total': 44.9}","['trend', 'liquidity', 'momentum']",['近20日波动率偏高'],高位背离,unchanged,['阶段规则重新归类']
